User_ID,Age,Occupation,Monthly_Income,Monthly_Expenses,Category_Needs,Category_Wants,Actual_Savings,Financial_Health_Score
1,39,Entrepreneur,86747,61503,42555,18948,25244,76
2,39,Working Professional,91945,69821,47506,22315,22124,66
3,25,Working Professional,80450,56616,37483,19133,23834,69
4,40,Working Professional,112627,87162,54754,32408,25465,58
5,39,Working Professional,76919,58364,37425,20939,18555,65
6,33,Homemaker,19227,12794,8520,4274,6433,83
7,57,Entrepreneur,66215,41937,26052,15885,24278,92
8,39,Homemaker,24148,16770,11429,5341,7378,74
9,30,Working Professional,74702,59176,33255,25921,15526,54
10,22,Student,9778,7379,5139,2240,2399,61
11,18,Student,7861,6943,4254,2689,918,41
12,49,Homemaker,30046,21269,13363,7906,8777,69
13,24,Working Professional,106193,62275,32455,29820,43918,98
14,19,Student,10418,8041,5264,2777,2377,63
15,44,Entrepreneur,61808,40206,21361,18845,21602,89
16,38,Homemaker,18753,15811,10103,5708,2942,47
17,22,Working Professional,58738,33466,23194,10272,25272,98
18,31,Homemaker,15014,10836,7287,3549,4178,73
19,23,Student,3351,2963,1523,1440,388,36
20,37,Entrepreneur,197126,163778,98305,65473,33348,48
21,56,Entrepreneur,94862,67592,44111,23481,27270,76
22,44,Homemaker,20758,14826,8224,6602,5932,77
23,54,Homemaker,19625,13592,7569,6023,6033,75
24,34,Entrepreneur,76215,52862,32371,20491,23353,77
25,33,Entrepreneur,60270,49677,29757,19920,10593,54
26,42,Homemaker,24924,18061,12157,5904,6863,71
27,39,Working Professional,75091,48137,27849,20288,26954,88
28,28,Working Professional,81118,56320,35580,20740,24798,74
29,39,Working Professional,68890,52631,31593,21038,16259,66
30,34,Working Professional,85223,64227,35189,29038,20996,69
31,37,Homemaker,28924,19535,10450,9085,9389,80
32,44,Working Professional,119748,70062,46157,23905,49686,96
33,21,Student,3375,2619,1345,1274,756,56
34,25,Homemaker,31347,24012,14119,9893,7335,63
35,18,Student,3793,3526,1918,1608,267,30
36,46,Working Professional,76826,59103,41283,17820,17723,66
37,43,Homemaker,24031,17829,11177,6652,6202,68
38,20,Student,10099,8640,4627,4013,1459,44
39,38,Homemaker,19452,14674,9533,5141,4778,62
40,31,Working Professional,63227,39750,25143,14607,23477,90
41,18,Student,10799,9371,6459,2912,1428,40
42,23,Student,10882,9117,5293,3824,1765,47
43,46,Working Professional,118323,93542,55835,37707,24781,53
44,19,Student,7669,6897,4379,2518,772,34
45,45,Working Professional,80437,44315,22970,21345,36122,98
46,18,Student,7065,6282,3486,2796,783,39
47,28,Working Professional,112515,64027,39610,24417,48488,98
48,51,Homemaker,30838,25931,16251,9680,4907,41
49,37,Homemaker,18513,15160,9714,5446,3353,53
50,26,Working Professional,105128,58556,39242,19314,46572,98
51,21,Student,6506,6055,3821,2234,451,30
52,35,Working Professional,99748,69613,44197,25416,30135,75
53,25,Homemaker,22776,14980,7750,7230,7796,85
54,20,Student,3369,2881,1988,893,488,43
55,50,Homemaker,23805,16247,8199,8048,7558,73
56,23,Student,3670,3323,2310,1013,347,36
57,41,Working Professional,115982,86780,43793,42987,29202,68
58,41,Working Professional,40374,26828,17713,9115,13546,81
59,46,Homemaker,30333,21846,13600,8246,8487,74
60,18,Student,3956,3416,2148,1268,540,43
61,36,Homemaker,21426,15884,8739,7145,5542,71
62,19,Student,10427,8430,4719,3711,1997,48
63,48,Entrepreneur,140007,116751,65006,51745,23256,51
64,37,Working Professional,68647,45495,26558,18937,23152,87
65,43,Homemaker,29493,20475,10404,10071,9018,78
66,20,Student,10114,8857,5243,3614,1257,41
67,29,Homemaker,27613,21489,11778,9711,6124,56
68,34,Homemaker,30826,20069,11050,9019,10757,87
69,36,Working Professional,43883,27518,17187,10331,16365,89
70,22,Student,7822,6931,4151,2780,891,35
71,49,Working Professional,84632,56895,34858,22037,27737,77
72,40,Entrepreneur,126433,86888,50224,36664,39545,72
73,20,Student,4463,3721,2566,1155,742,45
74,32,Working Professional,102678,79211,51439,27772,23467,64
75,21,Student,10292,8986,5506,3480,1306,42
76,22,Student,3031,2326,1585,741,705,58
77,24,Working Professional,65090,46244,30397,15847,18846,72
78,19,Student,8608,7755,4893,2862,853,38
79,58,Entrepreneur,75180,53646,30258,23388,21534,75
80,20,Student,5004,3934,2132,1802,1070,54
81,31,Working Professional,87930,60427,31903,28524,27503,76
82,48,Working Professional,52126,31853,22278,9575,20273,97
83,46,Working Professional,115760,82816,50292,32524,32944,67
84,20,Student,8330,6996,4215,2781,1334,47
85,49,Homemaker,28912,21793,13883,7910,7119,59
86,24,Working Professional,101153,67327,42173,25154,33826,85
87,44,Entrepreneur,79122,48082,26505,21577,31040,88
88,50,Homemaker,27931,21789,12516,9273,6142,61
89,18,Student,9402,7717,3975,3742,1685,47
90,31,Working Professional,97236,69471,36930,32541,27765,70
91,57,Entrepreneur,119904,83583,49414,34169,36321,70
92,48,Working Professional,73840,41067,22924,18143,32773,98
93,42,Working Professional,81991,49229,28018,21211,32762,91
94,27,Working Professional,94603,59005,30073,28932,35598,85
95,18,Student,8644,7687,4955,2732,957,41
96,29,Working Professional,76016,60525,38288,22237,15491,57
97,19,Student,6263,5009,2640,2369,1254,59
98,40,Homemaker,23672,16511,8354,8157,7161,78
99,46,Working Professional,72683,50850,35232,15618,21833,78
100,51,Homemaker,28096,21621,12310,9311,6475,57
101,21,Student,4482,4243,2764,1479,239,30
102,23,Working Professional,54248,43070,21860,21210,11178,54
103,53,Entrepreneur,157819,96225,60303,35922,61594,97
104,54,Homemaker,33709,22606,13750,8856,11103,77
105,19,Student,9898,7484,4310,3174,2414,64
106,51,Homemaker,23035,17578,9118,8460,5457,66
107,30,Homemaker,18015,15112,7563,7549,2903,51
108,23,Student,11290,9946,6873,3073,1344,41
109,31,Entrepreneur,119269,90324,54654,35670,28945,67
110,51,Homemaker,33283,22556,14144,8412,10727,74
111,34,Working Professional,53754,37735,22559,15176,16019,71
112,52,Homemaker,18319,12493,6618,5875,5826,79
113,43,Working Professional,115414,78461,45211,33250,36953,82
114,32,Homemaker,26892,21958,14547,7411,4934,52
115,39,Homemaker,27054,18135,12331,5804,8919,85
116,25,Working Professional,92984,66854,39094,27760,26130,70
117,40,Homemaker,26930,19022,9944,9078,7908,78
118,48,Entrepreneur,130976,108290,65014,43276,22686,54
119,22,Student,8303,7620,4075,3545,683,35
120,42,Working Professional,118886,78610,42871,35739,40276,82
121,52,Entrepreneur,120381,98407,67392,31015,21974,51
122,20,Student,11562,9019,4704,4315,2543,57
123,21,Student,4303,3829,2267,1562,474,33
124,27,Homemaker,32893,26297,15011,11286,6596,53
125,23,Working Professional,89340,51837,28345,23492,37503,95
126,31,Entrepreneur,185889,130449,65516,64933,55440,70
127,44,Working Professional,109176,79887,42311,37576,29289,66
128,21,Student,10018,8098,4499,3599,1920,52
129,28,Working Professional,90344,71951,43550,28401,18393,52
130,26,Working Professional,68049,37892,25626,12266,30157,98
131,22,Student,6547,6120,3470,2650,427,30
132,22,Student,8940,6771,4208,2563,2169,59
133,46,Homemaker,34003,25782,14990,10792,8221,63
134,47,Entrepreneur,119554,90802,55139,35663,28752,60
135,20,Student,5061,4194,2916,1278,867,50
136,20,Student,4222,3890,2492,1398,332,30
137,45,Homemaker,33023,28036,18445,9591,4987,42
138,42,Homemaker,32588,26171,17928,8243,6417,53
139,48,Working Professional,59513,34442,18333,16109,25071,98
140,36,Homemaker,32550,26036,17507,8529,6514,55
